const_c,conservative,labour,ld,other,spoil,winner,true_winner,match
E14000982,30256,25969,3415,4100,0,conservative,labour,0
E14000983,32489,12319,16307,4214,4396,conservative,conservative,1
E14000984,31677,16459,10668,3494,1076,conservative,conservative,1
E14000985,25677,26935,4840,3746,482,labour,conservative,0
E14000986,27259,25515,2781,2623,1077,conservative,conservative,1
E14000987,31700,12783,16404,2630,14,conservative,conservative,1
E14000988,28662,22240,13757,5124,6635,conservative,conservative,1
E14000989,24805,25776,3665,3372,613,labour,conservative,0
E14000990,26291,26429,7998,5479,3310,labour,conservative,0
E14000991,26043,25032,7930,6066,2836,conservative,conservative,1
E14000992,26225,27888,4458,3823,398,labour,conservative,0
E14000993,25906,24800,9088,4490,2439,conservative,conservative,1
E14000994,21646,21077,7836,4316,2542,conservative,conservative,1
E14000995,31762,26511,7870,4928,502,conservative,conservative,1
E14000996,26783,26666,5092,5435,2050,conservative,conservative,1
E14000997,29906,16753,12952,3604,1794,conservative,conservative,1
E14000998,27454,23889,9996,5474,445,conservative,labour,0
E14000999,25883,23853,6525,5756,2654,conservative,conservative,1
E14001000,27804,19042,11945,4358,5050,conservative,conservative,1
E14001001,22409,18392,7101,7555,2220,conservative,conservative,1
E14001002,34861,26039,11381,7740,598,conservative,labour,0
E14001003,23637,25110,7323,5749,2481,labour,conservative,0
E14001004,27063,15821,22096,2875,389,conservative,conservative,1
E14001005,33778,8953,41638,2718,72,ld,liberal_dem,0
